AUTOR: (Cava, R J)
Tempo estipulado=Todos os anos. Índices=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Título","Autores","Autorias compartilhadas","Editores","Editores de livros","Título da fonte","Data de publicação","Ano da publicação","Volume","Edição","Número da edição","Suplemento","Edição especial","Página inicial","Página final","Número do artigo","DOI","Título da conferência","Data da conferência","Total de citações","Média por ano","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Observation of a large-gap topological-insulator class with a single Dirac cone on the surface","Xia, Y.; Qian, D.; Hsieh, D.; Wray, L.; Pal, A.; Lin, H.; Bansil, A.; Grauer, D.; Hor, Y. S.; Cava, R. J.; Hasan, M. Z.","","","","NATURE PHYSICS","JUN 2009","2009","5","6","","","","398","402","","10.1038/NPHYS1274","","","2253","204.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","146","217","290","277","246","250","245","234","217","112","0"
"A topological Dirac insulator in a quantum spin Hall phase","Hsieh, D.; Qian, D.; Wray, L.; Xia, Y.; Hor, Y. S.; Cava, R. J.; Hasan, M. Z.","","","","NATURE","APR 24 2008","2008","452","7190","","","","970","U5","","10.1038/nature06843","","","2056","171.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","71","152","187","244","241","243","211","222","194","160","118","0"
"A tunable topological insulator in the spin helical Dirac transport regime","Hsieh, D.; Xia, Y.; Qian, D.; Wray, L.; Dil, J. H.; Meier, F.; Osterwalder, J.; Patthey, L.; Checkelsky, J. G.; Ong, N. P.; Fedorov, A. V.; Lin, H.; Bansil, A.; Grauer, D.; Hor, Y. S.; Cava, R. J.; Hasan, M. Z.","","","","NATURE","AUG 27 2009","2009","460","7259","","","","1101","U59","","10.1038/nature08234","","","1241","112.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","78","120","161","154","152","127","140","134","107","61","0"
"Observation of Unconventional Quantum Spin Textures in Topological Insulators","Hsieh, D.; Xia, Y.; Wray, L.; Qian, D.; Pal, A.; Dil, J. H.; Osterwalder, J.; Meier, F.; Bihlmayer, G.; Kane, C. L.; Hor, Y. S.; Cava, R. J.; Hasan, M. Z.","","","","SCIENCE","FEB 13 2009","2009","323","5916","","","","919","922","","10.1126/science.1167733","","","801","72.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","85","94","110","92","79","91","67","58","59","36","0"
"Electronic and magnetic phase diagram of beta-Fe1.01Se with superconductivity at 36.7 K under pressure","Medvedev, S.; McQueen, T. M.; Troyan, I. A.; Palasyuk, T.; Eremets, M. I.; Cava, R. J.; Naghavi, S.; Casper, F.; Ksenofontov, V.; Wortmann, G.; Felser, C.","","","","NATURE MATERIALS","AUG 2009","2009","8","8","","","","630","633","","10.1038/NMAT2491","","","700","63.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","68","86","62","65","56","87","82","79","69","35","0"
"Topological surface states protected from backscattering by chiral spin texture","Roushan, Pedram; Seo, Jungpil; Parker, Colin V.; Hor, Y. S.; Hsieh, D.; Qian, Dong; Richardella, Anthony; Hasan, M. Z.; Cava, R. J.; Yazdani, Ali","","","","NATURE","AUG 27 2009","2009","460","7259","","","","1106","U64","","10.1038/nature08308","","","656","59.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","47","54","104","86","66","70","73","66","55","31","0"
"Large, non-saturating magnetoresistance in WTe2","Ali, Mazhar N.; Xiong, Jun; Flynn, Steven; Tao, Jing; Gibson, Quinn D.; Schoop, Leslie M.; Liang, Tian; Haldolaarachchige, Neel; Hirschberger, Max; Ong, N. P.; Cava, R. J.","","","","NATURE","OCT 9 2014","2014","514","7521","","","","205","+","","10.1038/nature13763","","","621","103.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","63","132","167","160","97","0"
"Observation of Time-Reversal-Protected Single-Dirac-Cone Topological-Insulator States in Bi2Te3 and Sb2Te3","Hsieh, D.; Xia, Y.; Qian, D.; Wray, L.; Meier, F.; Dil, J. H.; Osterwalder, J.; Patthey, L.; Fedorov, A. V.; Lin, H.; Bansil, A.; Grauer, D.; Hor, Y. S.; Cava, R. J.; Hasan, M. Z.","","","","PHYSICAL REVIEW LETTERS","OCT 2 2009","2009","103","14","","","","","","146401","10.1103/PhysRevLett.103.146401","","","605","55.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","61","74","70","69","72","72","70","56","32","0"
"Ultrahigh mobility and giant magnetoresistance in the Dirac semimetal Cd3As2","Liang, Tian; Gibson, Quinn; Ali, Mazhar N.; Liu, Minhao; Cava, R. J.; Ong, N. P.","","","","NATURE MATERIALS","MAR 2015","2015","14","3","","","","280","284","","","","","579","115.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61","114","151","163","90","0"
"Superconductivity in CuxBi2Se3 and its Implications for Pairing in the Undoped Topological Insulator","Hor, Y. S.; Williams, A. J.; Checkelsky, J. G.; Roushan, P.; Seo, J.; Xu, Q.; Zandbergen, H. W.; Yazdani, A.; Ong, N. P.; Cava, R. J.","","","","PHYSICAL REVIEW LETTERS","FEB 5 2010","2010","104","5","","","","","","057001","10.1103/PhysRevLett.104.057001","","","568","56.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","33","59","63","54","66","81","73","81","41","0"
